Temp 		Press			Hum

24.43 | 1004.31 | 44.28 
 24.43 | 1004.31 | 44.27 
 24.43 | 1004.31 | 44.28 
 24.43 | 1004.31 | 44.29 
 24.43 | 1004.31 | 44.29 
 24.43 | 1004.31 | 44.29 
 24.43 | 1004.31 | 44.30 
 24.42 | 1004.31 | 44.30 
 24.42 | 1004.31 | 44.31 
 24.42 | 1004.31 | 44.29 
 24.42 | 1004.31 | 44.29 
 24.42 | 1004.31 | 44.29 
 24.42 | 1004.31 | 44.31 
 24.42 | 1004.31 | 44.31 
 24.42 | 1004.30 | 44.31 
 24.41 | 1004.30 | 44.31 
 24.41 | 1004.30 | 44.31 
 24.41 | 1004.31 | 44.32 
 24.41 | 1004.31 | 44.32 
 24.41 | 1004.31 | 44.31 
 24.41 | 1004.31 | 44.29 
 24.41 | 1004.31 | 44.33 
 24.41 | 1004.31 | 44.32 
 24.41 | 1004.31 | 44.30 
 24.40 | 1004.31 | 44.30 
 24.40 | 1004.31 | 44.31 
 24.40 | 1004.31 | 44.30 
 24.40 | 1004.31 | 44.32 
 24.40 | 1004.31 | 44.32 
 24.40 | 1004.31 | 44.32 
 24.40 | 1004.31 | 44.31 
 24.40 | 1004.31 | 44.32 
 24.39 | 1004.31 | 44.32 
 24.39 | 1004.31 | 44.33 
 24.39 | 1004.31 | 44.31 
 24.39 | 1004.31 | 44.33 
 24.39 | 1004.31 | 44.31 
 24.39 | 1004.31 | 44.32 
 24.39 | 1004.31 | 44.32 
 24.39 | 1004.31 | 44.34 
 24.39 | 1004.31 | 44.32 
 24.39 | 1004.31 | 44.32 
 24.39 | 1004.31 | 44.32 
 24.39 | 1004.31 | 44.31 
 24.38 | 1004.31 | 44.32 
 24.38 | 1004.31 | 44.33 
 24.38 | 1004.31 | 44.30 
 24.38 | 1004.31 | 44.31 
 24.38 | 1004.31 | 44.32 
 24.38 | 1004.31 | 44.30 
 24.38 | 1004.31 | 44.31 
 24.38 | 1004.31 | 44.30 
 24.38 | 1004.31 | 44.33 
 24.38 | 1004.31 | 44.31 
 24.38 | 1004.31 | 44.31 
 24.37 | 1004.31 | 44.32 
 24.37 | 1004.31 | 44.32 
 24.37 | 1004.31 | 44.33 
 24.37 | 1004.31 | 44.32 
 24.37 | 1004.31 | 44.33 
 24.37 | 1004.31 | 44.33 
 24.37 | 1004.31 | 44.34 
 24.37 | 1004.31 | 44.33 
 24.37 | 1004.31 | 44.33 
 24.37 | 1004.31 | 44.33 
 24.37 | 1004.31 | 44.32 
 24.37 | 1004.31 | 44.36 
 24.37 | 1004.31 | 44.36 
 24.37 | 1004.31 | 44.34 
 24.37 | 1004.32 | 44.41 
 24.36 | 1004.31 | 44.45 
 24.36 | 1004.31 | 44.44 
 24.36 | 1004.31 | 44.45 
 24.36 | 1004.31 | 44.45 
 24.36 | 1004.31 | 44.49 
 24.36 | 1004.32 | 44.48 
 24.36 | 1004.32 | 44.56 
 24.36 | 1004.32 | 44.61 
 24.36 | 1004.32 | 44.67 
 24.36 | 1004.32 | 44.71 
 24.36 | 1004.32 | 44.73 
 24.36 | 1004.32 | 44.75 
 24.36 | 1004.32 | 44.77 
 24.36 | 1004.33 | 44.77 
 24.36 | 1004.32 | 44.80 
 24.36 | 1004.32 | 44.80 
 24.36 | 1004.33 | 44.80 
 24.36 | 1004.32 | 44.80 
 24.36 | 1004.32 | 44.83 
 24.36 | 1004.32 | 44.82 
 24.36 | 1004.33 | 44.83 
 24.36 | 1004.33 | 44.84 
 24.36 | 1004.33 | 44.83 
 24.36 | 1004.32 | 44.82 
 24.36 | 1004.32 | 44.85 
 24.36 | 1004.32 | 44.82 
 24.35 | 1004.32 | 44.82 
 24.35 | 1004.32 | 44.81 
 24.35 | 1004.32 | 44.80 
 24.35 | 1004.32 | 44.82 
 
